id,manifest,num,book_name,册序
4918833,https://www.digital.archives.go.jp/api/iiif/4918833/manifest.json,305-0127,重刻增補簡便驗方,6
4915120,https://www.digital.archives.go.jp/api/iiif/4915120/manifest.json,302-0055,醫燈續焰,1
4915122,https://www.digital.archives.go.jp/api/iiif/4915122/manifest.json,302-0055,醫燈續焰,3
4915571,https://www.digital.archives.go.jp/api/iiif/4915571/manifest.json,302-0111,臨證指南醫案,5
4915576,https://www.digital.archives.go.jp/api/iiif/4915576/manifest.json,302-0111,臨證指南醫案,10
578295,https://www.digital.archives.go.jp/api/iiif/578295/manifest.json,303-0216,喩嘉言先生傷寒尚論篇全書,8
578300,https://www.digital.archives.go.jp/api/iiif/578300/manifest.json,303-0216,喩嘉言先生傷寒尚論篇全書,9
578383,https://www.digital.archives.go.jp/api/iiif/578383/manifest.json,303-0216,喩嘉言先生傷寒尚論篇全書,10
4917097,https://www.digital.archives.go.jp/api/iiif/4917097/manifest.json,303-0240,新編婦人良方補遺大全,2
4917105,https://www.digital.archives.go.jp/api/iiif/4917105/manifest.json,303-0240,新編婦人良方補遺大全,10
4917792,https://www.digital.archives.go.jp/api/iiif/4917792/manifest.json,304-0222,新刊醫林狀元壽世保元,2
4917795,https://www.digital.archives.go.jp/api/iiif/4917795/manifest.json,304-0222,新刊醫林狀元壽世保元,5
4917907,https://www.digital.archives.go.jp/api/iiif/4917907/manifest.json,304-0276,針灸大成,6
4917913,https://www.digital.archives.go.jp/api/iiif/4917913/manifest.json,304-0277,針灸大成,2
4917914,https://www.digital.archives.go.jp/api/iiif/4917914/manifest.json,304-0277,針灸大成,3
4917920,https://www.digital.archives.go.jp/api/iiif/4917920/manifest.json,304-0277,針灸大成,9
4918264,https://www.digital.archives.go.jp/api/iiif/4918264/manifest.json,304-0321,本草類方,7
4918268,https://www.digital.archives.go.jp/api/iiif/4918268/manifest.json,304-0322,本草類方,1
4918277,https://www.digital.archives.go.jp/api/iiif/4918277/manifest.json,304-0322,本草類方,10
