id,manifest,num
4498643,https://www.digital.archives.go.jp/api/iiif/4498643/manifest.json,062-0004
4498727,https://www.digital.archives.go.jp/api/iiif/4498727/manifest.json,062-0004
4498731,https://www.digital.archives.go.jp/api/iiif/4498731/manifest.json,062-0004
4498643,https://www.digital.archives.go.jp/api/iiif/4498643/manifest.json,062-0004
4502323,https://www.digital.archives.go.jp/api/iiif/4502323/manifest.json,062-0004
4498727,https://www.digital.archives.go.jp/api/iiif/4498727/manifest.json,062-0004
4498729,https://www.digital.archives.go.jp/api/iiif/4498729/manifest.json,062-0004
4498731,https://www.digital.archives.go.jp/api/iiif/4498731/manifest.json,062-0004
3566377,https://www.digital.archives.go.jp/api/iiif/3566377/manifest.json,064-0010
3566378,https://www.digital.archives.go.jp/api/iiif/3566378/manifest.json,064-0010
3567169,https://www.digital.archives.go.jp/api/iiif/3567169/manifest.json,064-0010
3566375,https://www.digital.archives.go.jp/api/iiif/3566375/manifest.json,064-0010
3566376,https://www.digital.archives.go.jp/api/iiif/3566376/manifest.json,064-0010
3566377,https://www.digital.archives.go.jp/api/iiif/3566377/manifest.json,064-0010
3566378,https://www.digital.archives.go.jp/api/iiif/3566378/manifest.json,064-0010
3567169,https://www.digital.archives.go.jp/api/iiif/3567169/manifest.json,064-0010
4209363,https://www.digital.archives.go.jp/api/iiif/4209363/manifest.json,065-0001
4209364,https://www.digital.archives.go.jp/api/iiif/4209364/manifest.json,065-0001
4210195,https://www.digital.archives.go.jp/api/iiif/4210195/manifest.json,065-0002
4210196,https://www.digital.archives.go.jp/api/iiif/4210196/manifest.json,065-0002
4210197,https://www.digital.archives.go.jp/api/iiif/4210197/manifest.json,065-0002
4210198,https://www.digital.archives.go.jp/api/iiif/4210198/manifest.json,065-0002
4210199,https://www.digital.archives.go.jp/api/iiif/4210199/manifest.json,065-0002
4757006,https://www.digital.archives.go.jp/api/iiif/4757006/manifest.json,067-0005
4757008,https://www.digital.archives.go.jp/api/iiif/4757008/manifest.json,067-0005
4757010,https://www.digital.archives.go.jp/api/iiif/4757010/manifest.json,067-0005
4757011,https://www.digital.archives.go.jp/api/iiif/4757011/manifest.json,067-0005
4757012,https://www.digital.archives.go.jp/api/iiif/4757012/manifest.json,067-0005
4757013,https://www.digital.archives.go.jp/api/iiif/4757013/manifest.json,067-0005
4757014,https://www.digital.archives.go.jp/api/iiif/4757014/manifest.json,067-0005
4757015,https://www.digital.archives.go.jp/api/iiif/4757015/manifest.json,067-0005
4757016,https://www.digital.archives.go.jp/api/iiif/4757016/manifest.json,067-0005
4757017,https://www.digital.archives.go.jp/api/iiif/4757017/manifest.json,067-0005
4757018,https://www.digital.archives.go.jp/api/iiif/4757018/manifest.json,067-0005
4757019,https://www.digital.archives.go.jp/api/iiif/4757019/manifest.json,067-0005
4757021,https://www.digital.archives.go.jp/api/iiif/4757021/manifest.json,067-0005
4757022,https://www.digital.archives.go.jp/api/iiif/4757022/manifest.json,067-0005
4757023,https://www.digital.archives.go.jp/api/iiif/4757023/manifest.json,067-0005
4757025,https://www.digital.archives.go.jp/api/iiif/4757025/manifest.json,067-0005
4757026,https://www.digital.archives.go.jp/api/iiif/4757026/manifest.json,067-0005
4757027,https://www.digital.archives.go.jp/api/iiif/4757027/manifest.json,067-0005
4757029,https://www.digital.archives.go.jp/api/iiif/4757029/manifest.json,067-0005
4757030,https://www.digital.archives.go.jp/api/iiif/4757030/manifest.json,067-0005
4757031,https://www.digital.archives.go.jp/api/iiif/4757031/manifest.json,067-0005
4757032,https://www.digital.archives.go.jp/api/iiif/4757032/manifest.json,067-0005
4757033,https://www.digital.archives.go.jp/api/iiif/4757033/manifest.json,067-0005
4757034,https://www.digital.archives.go.jp/api/iiif/4757034/manifest.json,067-0005
4757035,https://www.digital.archives.go.jp/api/iiif/4757035/manifest.json,067-0005
4757036,https://www.digital.archives.go.jp/api/iiif/4757036/manifest.json,067-0005
4757037,https://www.digital.archives.go.jp/api/iiif/4757037/manifest.json,067-0005
4757038,https://www.digital.archives.go.jp/api/iiif/4757038/manifest.json,067-0005
4757039,https://www.digital.archives.go.jp/api/iiif/4757039/manifest.json,067-0005
4757040,https://www.digital.archives.go.jp/api/iiif/4757040/manifest.json,067-0005
4427703,https://www.digital.archives.go.jp/api/iiif/4427703/manifest.json,074-0015
4427705,https://www.digital.archives.go.jp/api/iiif/4427705/manifest.json,074-0015
4421003,https://www.digital.archives.go.jp/api/iiif/4421003/manifest.json,074-0015
4421005,https://www.digital.archives.go.jp/api/iiif/4421005/manifest.json,074-0015
4421006,https://www.digital.archives.go.jp/api/iiif/4421006/manifest.json,074-0015
4427708,https://www.digital.archives.go.jp/api/iiif/4427708/manifest.json,074-0015
4421007,https://www.digital.archives.go.jp/api/iiif/4421007/manifest.json,074-0015
4427713,https://www.digital.archives.go.jp/api/iiif/4427713/manifest.json,074-0015
4421010,https://www.digital.archives.go.jp/api/iiif/4421010/manifest.json,074-0015
4428645,https://www.digital.archives.go.jp/api/iiif/4428645/manifest.json,074-0015
4421013,https://www.digital.archives.go.jp/api/iiif/4421013/manifest.json,074-0015
4421952,https://www.digital.archives.go.jp/api/iiif/4421952/manifest.json,074-0015
4421955,https://www.digital.archives.go.jp/api/iiif/4421955/manifest.json,074-0015
4421957,https://www.digital.archives.go.jp/api/iiif/4421957/manifest.json,074-0015
4421958,https://www.digital.archives.go.jp/api/iiif/4421958/manifest.json,074-0015
4421959,https://www.digital.archives.go.jp/api/iiif/4421959/manifest.json,074-0015
4424888,https://www.digital.archives.go.jp/api/iiif/4424888/manifest.json,074-0015
4424891,https://www.digital.archives.go.jp/api/iiif/4424891/manifest.json,074-0015
4424894,https://www.digital.archives.go.jp/api/iiif/4424894/manifest.json,074-0015
4421963,https://www.digital.archives.go.jp/api/iiif/4421963/manifest.json,074-0015
4421965,https://www.digital.archives.go.jp/api/iiif/4421965/manifest.json,074-0015
4422899,https://www.digital.archives.go.jp/api/iiif/4422899/manifest.json,074-0015
4422903,https://www.digital.archives.go.jp/api/iiif/4422903/manifest.json,074-0015
4424898,https://www.digital.archives.go.jp/api/iiif/4424898/manifest.json,074-0015
4424901,https://www.digital.archives.go.jp/api/iiif/4424901/manifest.json,074-0015
4423829,https://www.digital.archives.go.jp/api/iiif/4423829/manifest.json,074-0015
4423830,https://www.digital.archives.go.jp/api/iiif/4423830/manifest.json,074-0015
4424902,https://www.digital.archives.go.jp/api/iiif/4424902/manifest.json,074-0015
4423831,https://www.digital.archives.go.jp/api/iiif/4423831/manifest.json,074-0015
4425834,https://www.digital.archives.go.jp/api/iiif/4425834/manifest.json,074-0015
4425835,https://www.digital.archives.go.jp/api/iiif/4425835/manifest.json,074-0015
4492566,https://www.digital.archives.go.jp/api/iiif/4492566/manifest.json,076-0004
4492567,https://www.digital.archives.go.jp/api/iiif/4492567/manifest.json,076-0004
628494,https://www.digital.archives.go.jp/api/iiif/628494/manifest.json,076-0004
4432441,https://www.digital.archives.go.jp/api/iiif/4432441/manifest.json,078-0004
4432443,https://www.digital.archives.go.jp/api/iiif/4432443/manifest.json,078-0004
4757758,https://www.digital.archives.go.jp/api/iiif/4757758/manifest.json,111-0005
4757759,https://www.digital.archives.go.jp/api/iiif/4757759/manifest.json,111-0005
4757762,https://www.digital.archives.go.jp/api/iiif/4757762/manifest.json,111-0005
4757763,https://www.digital.archives.go.jp/api/iiif/4757763/manifest.json,111-0005
4757764,https://www.digital.archives.go.jp/api/iiif/4757764/manifest.json,111-0005
4757765,https://www.digital.archives.go.jp/api/iiif/4757765/manifest.json,111-0005
4757767,https://www.digital.archives.go.jp/api/iiif/4757767/manifest.json,111-0005
4757769,https://www.digital.archives.go.jp/api/iiif/4757769/manifest.json,111-0005
4757771,https://www.digital.archives.go.jp/api/iiif/4757771/manifest.json,111-0005
4757772,https://www.digital.archives.go.jp/api/iiif/4757772/manifest.json,111-0005
4757775,https://www.digital.archives.go.jp/api/iiif/4757775/manifest.json,111-0005
4757776,https://www.digital.archives.go.jp/api/iiif/4757776/manifest.json,111-0005
4757777,https://www.digital.archives.go.jp/api/iiif/4757777/manifest.json,111-0005
4757778,https://www.digital.archives.go.jp/api/iiif/4757778/manifest.json,111-0005
4757779,https://www.digital.archives.go.jp/api/iiif/4757779/manifest.json,111-0005
4757785,https://www.digital.archives.go.jp/api/iiif/4757785/manifest.json,111-0005
4757787,https://www.digital.archives.go.jp/api/iiif/4757787/manifest.json,111-0005
4757789,https://www.digital.archives.go.jp/api/iiif/4757789/manifest.json,111-0005
4757791,https://www.digital.archives.go.jp/api/iiif/4757791/manifest.json,111-0005
4757792,https://www.digital.archives.go.jp/api/iiif/4757792/manifest.json,111-0005
4757794,https://www.digital.archives.go.jp/api/iiif/4757794/manifest.json,111-0005
4757796,https://www.digital.archives.go.jp/api/iiif/4757796/manifest.json,111-0005
4757799,https://www.digital.archives.go.jp/api/iiif/4757799/manifest.json,111-0005
4757801,https://www.digital.archives.go.jp/api/iiif/4757801/manifest.json,111-0005
4757803,https://www.digital.archives.go.jp/api/iiif/4757803/manifest.json,111-0005
4757807,https://www.digital.archives.go.jp/api/iiif/4757807/manifest.json,111-0005
4757808,https://www.digital.archives.go.jp/api/iiif/4757808/manifest.json,111-0005
4757810,https://www.digital.archives.go.jp/api/iiif/4757810/manifest.json,111-0005
4757811,https://www.digital.archives.go.jp/api/iiif/4757811/manifest.json,111-0005
4757812,https://www.digital.archives.go.jp/api/iiif/4757812/manifest.json,111-0005
4757814,https://www.digital.archives.go.jp/api/iiif/4757814/manifest.json,111-0005
4757815,https://www.digital.archives.go.jp/api/iiif/4757815/manifest.json,111-0005
4757818,https://www.digital.archives.go.jp/api/iiif/4757818/manifest.json,111-0005
4757820,https://www.digital.archives.go.jp/api/iiif/4757820/manifest.json,111-0005
4757821,https://www.digital.archives.go.jp/api/iiif/4757821/manifest.json,111-0005
4757825,https://www.digital.archives.go.jp/api/iiif/4757825/manifest.json,111-0005
4498570,https://www.digital.archives.go.jp/api/iiif/4498570/manifest.json,193-0019
4498571,https://www.digital.archives.go.jp/api/iiif/4498571/manifest.json,193-0019
4498570,https://www.digital.archives.go.jp/api/iiif/4498570/manifest.json,193-0019
4498571,https://www.digital.archives.go.jp/api/iiif/4498571/manifest.json,193-0019
1079523,https://www.digital.archives.go.jp/api/iiif/1079523/manifest.json,199-0459
4763206,https://www.digital.archives.go.jp/api/iiif/4763206/manifest.json,253-0007
4763208,https://www.digital.archives.go.jp/api/iiif/4763208/manifest.json,253-0007
