id,manifest,num,pages
1075540,https://www.digital.archives.go.jp/api/iiif/1075540/manifest.json,312-0050,149
5390268,https://www.digital.archives.go.jp/api/iiif/5390268/manifest.json,367-0046,149
4408716,https://www.digital.archives.go.jp/api/iiif/4408716/manifest.json,015-0006,148
4776123,https://www.digital.archives.go.jp/api/iiif/4776123/manifest.json,102-0002,148
4489269,https://www.digital.archives.go.jp/api/iiif/4489269/manifest.json,193-0013,148
3895694,https://www.digital.archives.go.jp/api/iiif/3895694/manifest.json,304-0289,148
3669737,https://www.digital.archives.go.jp/api/iiif/3669737/manifest.json,308-0074,148
5389663,https://www.digital.archives.go.jp/api/iiif/5389663/manifest.json,367-0008,148
4413906,https://www.digital.archives.go.jp/api/iiif/4413906/manifest.json,070-0005,147
4499444,https://www.digital.archives.go.jp/api/iiif/4499444/manifest.json,126-0002,147
4774061,https://www.digital.archives.go.jp/api/iiif/4774061/manifest.json,304-0287,147
3322967,https://www.digital.archives.go.jp/api/iiif/3322967/manifest.json,366-0081,147
5389643,https://www.digital.archives.go.jp/api/iiif/5389643/manifest.json,367-0008,147
4415396,https://www.digital.archives.go.jp/api/iiif/4415396/manifest.json,075-0001,146
4427632,https://www.digital.archives.go.jp/api/iiif/4427632/manifest.json,195-0004,146
4918149,https://www.digital.archives.go.jp/api/iiif/4918149/manifest.json,304-0308,146
5390238,https://www.digital.archives.go.jp/api/iiif/5390238/manifest.json,367-0046,146
1078885,https://www.digital.archives.go.jp/api/iiif/1078885/manifest.json,367-0130,146
4776136,https://www.digital.archives.go.jp/api/iiif/4776136/manifest.json,102-0002,145
3745764,https://www.digital.archives.go.jp/api/iiif/3745764/manifest.json,121-0002,145
4467898,https://www.digital.archives.go.jp/api/iiif/4467898/manifest.json,130-0001,145
4771107,https://www.digital.archives.go.jp/api/iiif/4771107/manifest.json,305-0019,145
3610666,https://www.digital.archives.go.jp/api/iiif/3610666/manifest.json,309-0137,145
5064704,https://www.digital.archives.go.jp/api/iiif/5064704/manifest.json,366-0022,145
3322977,https://www.digital.archives.go.jp/api/iiif/3322977/manifest.json,366-0081,145
5390260,https://www.digital.archives.go.jp/api/iiif/5390260/manifest.json,367-0046,145
3326520,https://www.digital.archives.go.jp/api/iiif/3326520/manifest.json,367-0051,145
4398203,https://www.digital.archives.go.jp/api/iiif/4398203/manifest.json,130-0001,144
3743535,https://www.digital.archives.go.jp/api/iiif/3743535/manifest.json,306-0219,144
3969978,https://www.digital.archives.go.jp/api/iiif/3969978/manifest.json,365-0029,144
3590809,https://www.digital.archives.go.jp/api/iiif/3590809/manifest.json,367-0033,144
1082421,https://www.digital.archives.go.jp/api/iiif/1082421/manifest.json,091-0007,143
4770128,https://www.digital.archives.go.jp/api/iiif/4770128/manifest.json,301-0041,143
3991126,https://www.digital.archives.go.jp/api/iiif/3991126/manifest.json,364-0075,143
5065479,https://www.digital.archives.go.jp/api/iiif/5065479/manifest.json,366-0083,143
4261769,https://www.digital.archives.go.jp/api/iiif/4261769/manifest.json,367-0050,143
4487171,https://www.digital.archives.go.jp/api/iiif/4487171/manifest.json,135-0011,142
4916300,https://www.digital.archives.go.jp/api/iiif/4916300/manifest.json,303-0001,142
1075930,https://www.digital.archives.go.jp/api/iiif/1075930/manifest.json,309-0125,142
5065338,https://www.digital.archives.go.jp/api/iiif/5065338/manifest.json,366-0080,142
5390240,https://www.digital.archives.go.jp/api/iiif/5390240/manifest.json,367-0046,142
1077713,https://www.digital.archives.go.jp/api/iiif/1077713/manifest.json,055-0005,141
4776125,https://www.digital.archives.go.jp/api/iiif/4776125/manifest.json,102-0002,141
4487187,https://www.digital.archives.go.jp/api/iiif/4487187/manifest.json,188-0001,141
3610524,https://www.digital.archives.go.jp/api/iiif/3610524/manifest.json,292-0103,141
4917995,https://www.digital.archives.go.jp/api/iiif/4917995/manifest.json,304-0303,141
3969975,https://www.digital.archives.go.jp/api/iiif/3969975/manifest.json,365-0029,141
5065487,https://www.digital.archives.go.jp/api/iiif/5065487/manifest.json,366-0083,141
5389665,https://www.digital.archives.go.jp/api/iiif/5389665/manifest.json,367-0008,141
4427702,https://www.digital.archives.go.jp/api/iiif/4427702/manifest.json,080-0004,140
4397994,https://www.digital.archives.go.jp/api/iiif/4397994/manifest.json,130-0001,140
4487524,https://www.digital.archives.go.jp/api/iiif/4487524/manifest.json,188-0001,140
4917971,https://www.digital.archives.go.jp/api/iiif/4917971/manifest.json,304-0302,140
3315083,https://www.digital.archives.go.jp/api/iiif/3315083/manifest.json,366-0035,140
3323267,https://www.digital.archives.go.jp/api/iiif/3323267/manifest.json,366-0081,140
5390247,https://www.digital.archives.go.jp/api/iiif/5390247/manifest.json,367-0046,140
4409280,https://www.digital.archives.go.jp/api/iiif/4409280/manifest.json,070-0005,139
1074006,https://www.digital.archives.go.jp/api/iiif/1074006/manifest.json,274-0060,139
4919960,https://www.digital.archives.go.jp/api/iiif/4919960/manifest.json,306-0292,139
3969979,https://www.digital.archives.go.jp/api/iiif/3969979/manifest.json,365-0029,139
3323266,https://www.digital.archives.go.jp/api/iiif/3323266/manifest.json,366-0081,139
5389655,https://www.digital.archives.go.jp/api/iiif/5389655/manifest.json,367-0008,139
4432604,https://www.digital.archives.go.jp/api/iiif/4432604/manifest.json,019-0007,138
4489610,https://www.digital.archives.go.jp/api/iiif/4489610/manifest.json,126-0002,138
4450203,https://www.digital.archives.go.jp/api/iiif/4450203/manifest.json,130-0001,138
4109543,https://www.digital.archives.go.jp/api/iiif/4109543/manifest.json,301-0020,138
4772802,https://www.digital.archives.go.jp/api/iiif/4772802/manifest.json,307-0124,138
5056851,https://www.digital.archives.go.jp/api/iiif/5056851/manifest.json,364-0071,138
5064979,https://www.digital.archives.go.jp/api/iiif/5064979/manifest.json,366-0056,138
3323129,https://www.digital.archives.go.jp/api/iiif/3323129/manifest.json,366-0081,138
5389664,https://www.digital.archives.go.jp/api/iiif/5389664/manifest.json,367-0008,138
4417679,https://www.digital.archives.go.jp/api/iiif/4417679/manifest.json,016-0016,137
4427597,https://www.digital.archives.go.jp/api/iiif/4427597/manifest.json,081-0002,137
4495573,https://www.digital.archives.go.jp/api/iiif/4495573/manifest.json,133-0001,137
4487578,https://www.digital.archives.go.jp/api/iiif/4487578/manifest.json,188-0001,137
4770134,https://www.digital.archives.go.jp/api/iiif/4770134/manifest.json,301-0041,137
4920225,https://www.digital.archives.go.jp/api/iiif/4920225/manifest.json,307-0139,137
5064764,https://www.digital.archives.go.jp/api/iiif/5064764/manifest.json,366-0027,137
